,sample1_seq1,sample1_seq2,sample1_seq3,sample1_seq4,sample1_seq5,sample2_seq1,sample2_seq2,sample2_seq3,sample2_seq4,sample2_seq5
sample1_seq1,-2.220446049250313e-16,0.06695927843090599,0.3101396212711188,1.0,1.0,-2.220446049250313e-16,0.011500303350038599,1.0,1.0,1.0
sample1_seq2,0.06695927843090599,2.220446049250313e-16,0.24073363589396723,0.8616403492730241,1.0,0.06695927843090599,0.09115596400907644,0.8616403492730241,0.8622185566116654,1.0
sample1_seq3,0.3101396212711188,0.24073363589396723,0.0,0.3101396212711188,0.5210868573894243,0.3101396212711188,0.32753895225397534,0.3101396212711188,0.32851829129149035,0.5210868573894243
sample1_seq4,1.0,0.8616403492730241,0.3101396212711188,-2.220446049250313e-16,0.296010530603953,1.0,1.0,-2.220446049250313e-16,0.01293990545747059,0.296010530603953
sample1_seq5,1.0,1.0,0.5210868573894243,0.296010530603953,0.0,1.0,1.0,0.296010530603953,0.2989525145956168,0.0
sample2_seq1,-2.220446049250313e-16,0.06695927843090599,0.3101396212711188,1.0,1.0,-2.220446049250313e-16,0.011500303350038599,1.0,1.0,1.0
sample2_seq2,0.011500303350038599,0.09115596400907644,0.32753895225397534,1.0,1.0,0.011500303350038599,0.0,1.0,1.0,1.0
sample2_seq3,1.0,0.8616403492730241,0.3101396212711188,-2.220446049250313e-16,0.296010530603953,1.0,1.0,-2.220446049250313e-16,0.01293990545747059,0.296010530603953
sample2_seq4,1.0,0.8622185566116654,0.32851829129149035,0.01293990545747059,0.2989525145956168,1.0,1.0,0.01293990545747059,-2.220446049250313e-16,0.2989525145956168
sample2_seq5,1.0,1.0,0.5210868573894243,0.296010530603953,0.0,1.0,1.0,0.296010530603953,0.2989525145956168,0.0
