,sample1_seq1,sample1_seq2,sample1_seq3,sample1_seq4,sample1_seq5,sample2_seq1,sample2_seq2,sample2_seq3,sample2_seq4,sample2_seq5
sample1_seq1,0.0,0.4137931034482759,1.103448275862069,2.0,2.0,0.0,0.2758620689655173,2.0,1.9999999999999998,2.0
sample1_seq2,0.4137931034482759,0.0,0.6896551724137933,1.793103448275862,2.0,0.4137931034482759,0.6896551724137931,1.793103448275862,1.793103448275862,2.0
sample1_seq3,1.103448275862069,0.6896551724137933,0.0,1.103448275862069,1.6551724137931036,1.103448275862069,1.3103448275862069,1.103448275862069,1.3103448275862069,1.6551724137931036
sample1_seq4,2.0,1.793103448275862,1.103448275862069,0.0,1.103448275862069,2.0,2.0,0.0,0.34482758620689663,1.103448275862069
sample1_seq5,2.0,2.0,1.6551724137931036,1.103448275862069,0.0,2.0,2.0,1.103448275862069,1.1724137931034484,0.0
sample2_seq1,0.0,0.4137931034482759,1.103448275862069,2.0,2.0,0.0,0.2758620689655173,2.0,1.9999999999999998,2.0
sample2_seq2,0.2758620689655173,0.6896551724137931,1.3103448275862069,2.0,2.0,0.2758620689655173,0.0,2.0,1.9999999999999998,2.0
sample2_seq3,2.0,1.793103448275862,1.103448275862069,0.0,1.103448275862069,2.0,2.0,0.0,0.34482758620689663,1.103448275862069
sample2_seq4,1.9999999999999998,1.793103448275862,1.3103448275862069,0.34482758620689663,1.1724137931034484,1.9999999999999998,1.9999999999999998,0.34482758620689663,0.0,1.1724137931034484
sample2_seq5,2.0,2.0,1.6551724137931036,1.103448275862069,0.0,2.0,2.0,1.103448275862069,1.1724137931034484,0.0
